Transaction Date,Day of Week,Month,Quarter,Financial Year,Outlet ID,Outlet Name,Area,Product ID,Product Name,Category,Units Sold,Unit Price,Gross Sales,Discount %,Discount Amount,Net Sales,GST %,GST Amount,Total Bill,Payment Mode,Customer Count,Average Bill Size,Peak Hour Sales %,Weather,Special Event,Holiday,Stock Availability,Employee Shift,Manager Name,Remarks
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT005,MG Road,Central,PRD002,Veg Burger,Burgers,93,165,15345,0.0,0.0,15345.0,5,767.25,16112.25,Debit Card,74,217.73,45.7,Overcast,None,No,Available,Evening,Vikram Malhotra,Normal Operations
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT005,MG Road,Central,PRD003,French Fries,Sides,72,115,8280,0.0,0.0,8280.0,5,414.0,8694.0,Wallet,55,158.07,45.7,Overcast,None,No,Available,Evening,Vikram Malhotra,Normal Operations
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT006,Jayanagar,South,PRD001,Chicken Burger,Burgers,92,210,19320,0.0,0.0,19320.0,5,966.0,20286.0,UPI,64,316.97,50.57,Overcast,None,No,Available,Evening,Siddharth Rao,Normal Operations
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT006,Jayanagar,South,PRD002,Veg Burger,Burgers,71,150,10650,0.0,0.0,10650.0,5,532.5,11182.5,UPI,55,203.32,50.57,Overcast,None,No,Available,Evening,Siddharth Rao,Normal Operations
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT006,Jayanagar,South,PRD003,French Fries,Sides,63,100,6300,0.0,0.0,6300.0,5,315.0,6615.0,Cash,42,157.5,50.57,Overcast,None,No,Available,Evening,Siddharth Rao,Normal Operations
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT007,Malleshwaram,West,PRD001,Chicken Burger,Burgers,85,190,16150,0.0,0.0,16150.0,5,807.5,16957.5,UPI,64,264.96,51.55,Overcast,None,No,Available,Evening,Meera Krishnan,Normal Operations
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT007,Malleshwaram,West,PRD002,Veg Burger,Burgers,67,140,9380,0.0,0.0,9380.0,5,469.0,9849.0,UPI,49,201.0,51.55,Overcast,None,No,Available,Evening,Meera Krishnan,Normal Operations
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT007,Malleshwaram,West,PRD003,French Fries,Sides,61,90,5490,0.0,0.0,5490.0,5,274.5,5764.5,UPI,42,137.25,51.55,Overcast,None,No,Available,Evening,Meera Krishnan,Normal Operations
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT008,HSR Layout,South,PRD001,Chicken Burger,Burgers,100,205,20500,0.05,1025.0,19475.0,5,973.75,20448.75,UPI,81,252.45,54.98,Overcast,College Festival,No,Available,Full Day,Aditya Verma,College Festival - Student Discounts
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT008,HSR Layout,South,PRD002,Veg Burger,Burgers,83,150,12450,0.05,622.5,11827.5,5,591.38,12418.88,Debit Card,60,206.98,54.98,Overcast,College Festival,No,Available,Full Day,Aditya Verma,College Festival - Student Discounts
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT008,HSR Layout,South,PRD003,French Fries,Sides,76,100,7600,0.05,380.0,7220.0,5,361.0,7581.0,UPI,62,122.27,54.98,Overcast,College Festival,No,Available,Full Day,Aditya Verma,College Festival - Student Discounts
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT009,Rajajinagar,West,PRD001,Chicken Burger,Burgers,84,195,16380,0.0,0.0,16380.0,5,819.0,17199.0,Debit Card,70,245.7,50.29,Overcast,None,No,Available,Morning,Sneha Hegde,Normal Operations
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT009,Rajajinagar,West,PRD002,Veg Burger,Burgers,74,140,10360,0.0,0.0,10360.0,5,518.0,10878.0,UPI,54,201.44,50.29,Overcast,None,No,Available,Morning,Sneha Hegde,Normal Operations
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT009,Rajajinagar,West,PRD003,French Fries,Sides,62,90,5580,0.0,0.0,5580.0,5,279.0,5859.0,UPI,50,117.18,50.29,Overcast,None,No,Available,Morning,Sneha Hegde,Normal Operations
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT010,Yelahanka,North,PRD001,Chicken Burger,Burgers,63,180,11340,0.0,0.0,11340.0,5,567.0,11907.0,UPI,47,253.34,54.54,Overcast,None,No,Available,Full Day,Rohan Das,Normal Operations
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT010,Yelahanka,North,PRD002,Veg Burger,Burgers,65,130,8450,0.0,0.0,8450.0,5,422.5,8872.5,UPI,44,201.65,54.54,Overcast,None,No,Available,Full Day,Rohan Das,Normal Operations
2025-08-01,Friday,August,Q2 FY 2025-26,FY 2025-26,OUT010,Yelahanka,North,PRD003,French Fries,Sides,52,85,4420,0.0,0.0,4420.0,5,221.0,4641.0,UPI,38,122.13,54.54,Overcast,None,No,Available,Full Day,Rohan Das,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT001,Indiranagar,East,PRD001,Chicken Burger,Burgers,127,220,27940,0.0,0.0,27940.0,5,1397.0,29337.0,UPI,98,299.36,61.68,Overcast,None,No,Available,Full Day,Aarav Sharma,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT001,Indiranagar,East,PRD002,Veg Burger,Burgers,139,160,22240,0.0,0.0,22240.0,5,1112.0,23352.0,Cash,95,245.81,61.68,Overcast,None,No,Available,Full Day,Aarav Sharma,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT001,Indiranagar,East,PRD003,French Fries,Sides,105,110,11550,0.0,0.0,11550.0,5,577.5,12127.5,Cash,86,141.02,61.68,Overcast,None,No,Available,Full Day,Aarav Sharma,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT002,Koramangala,South,PRD001,Chicken Burger,Burgers,106,215,22790,0.0,0.0,22790.0,5,1139.5,23929.5,Debit Card,74,323.37,63.11,Overcast,None,No,Available,Full Day,Ananya Iyer,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT002,Koramangala,South,PRD002,Veg Burger,Burgers,97,155,15035,0.0,0.0,15035.0,5,751.75,15786.75,Credit Card,72,219.26,63.11,Overcast,None,No,Available,Full Day,Ananya Iyer,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT002,Koramangala,South,PRD003,French Fries,Sides,85,105,8925,0.0,0.0,8925.0,5,446.25,9371.25,UPI,58,161.57,63.11,Overcast,None,No,Available,Full Day,Ananya Iyer,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT003,Whitefield,East,PRD001,Chicken Burger,Burgers,123,220,27060,0.05,1353.0,25707.0,5,1285.35,26992.35,UPI,98,275.43,62.01,Overcast,College Festival,No,Available,Full Day,Rahul Nair,College Festival - Student Discounts
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT003,Whitefield,East,PRD002,Veg Burger,Burgers,117,160,18720,0.05,936.0,17784.0,5,889.2,18673.2,UPI,84,222.3,62.01,Overcast,College Festival,No,Available,Full Day,Rahul Nair,College Festival - Student Discounts
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT003,Whitefield,East,PRD003,French Fries,Sides,91,110,10010,0.05,500.5,9509.5,5,475.48,9984.98,UPI,74,134.93,62.01,Overcast,College Festival,No,Available,Full Day,Rahul Nair,College Festival - Student Discounts
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT004,Electronic City,South,PRD001,Chicken Burger,Burgers,41,200,8200,0.0,0.0,8200.0,5,410.0,8610.0,Credit Card,34,253.24,45.88,Overcast,None,No,Available,Full Day,Priyanka Sen,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT004,Electronic City,South,PRD002,Veg Burger,Burgers,38,145,5510,0.0,0.0,5510.0,5,275.5,5785.5,Cash,26,222.52,45.88,Overcast,None,No,Available,Full Day,Priyanka Sen,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT004,Electronic City,South,PRD003,French Fries,Sides,31,95,2945,0.0,0.0,2945.0,5,147.25,3092.25,Credit Card,24,128.84,45.88,Overcast,None,No,Available,Full Day,Priyanka Sen,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT005,MG Road,Central,PRD001,Chicken Burger,Burgers,152,225,34200,0.05,1710.0,32490.0,5,1624.5,34114.5,Credit Card,111,307.34,59.59,Overcast,College Festival,No,Available,Full Day,Vikram Malhotra,College Festival - Student Discounts
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT005,MG Road,Central,PRD002,Veg Burger,Burgers,134,165,22110,0.05,1105.5,21004.5,5,1050.23,22054.73,UPI,93,237.15,59.59,Overcast,College Festival,No,Available,Full Day,Vikram Malhotra,College Festival - Student Discounts
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT005,MG Road,Central,PRD003,French Fries,Sides,99,115,11385,0.05,569.25,10815.75,5,540.79,11356.54,UPI,74,153.47,59.59,Overcast,College Festival,No,Available,Full Day,Vikram Malhotra,College Festival - Student Discounts
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT006,Jayanagar,South,PRD001,Chicken Burger,Burgers,107,210,22470,0.0,0.0,22470.0,5,1123.5,23593.5,UPI,87,271.19,52.29,Overcast,None,No,Available,Full Day,Siddharth Rao,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT006,Jayanagar,South,PRD002,Veg Burger,Burgers,86,150,12900,0.0,0.0,12900.0,5,645.0,13545.0,UPI,59,229.58,52.29,Overcast,None,No,Available,Full Day,Siddharth Rao,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT006,Jayanagar,South,PRD003,French Fries,Sides,71,100,7100,0.0,0.0,7100.0,5,355.0,7455.0,UPI,53,140.66,52.29,Overcast,None,No,Available,Full Day,Siddharth Rao,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT007,Malleshwaram,West,PRD001,Chicken Burger,Burgers,87,190,16530,0.0,0.0,16530.0,5,826.5,17356.5,Credit Card,60,289.27,47.5,Overcast,None,No,Available,Morning,Meera Krishnan,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT007,Malleshwaram,West,PRD002,Veg Burger,Burgers,73,140,10220,0.0,0.0,10220.0,5,511.0,10731.0,Cash,49,219.0,47.5,Overcast,None,No,Available,Morning,Meera Krishnan,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT007,Malleshwaram,West,PRD003,French Fries,Sides,75,90,6750,0.0,0.0,6750.0,5,337.5,7087.5,Cash,51,138.97,47.5,Overcast,None,No,Available,Morning,Meera Krishnan,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT008,HSR Layout,South,PRD001,Chicken Burger,Burgers,111,205,22755,0.0,0.0,22755.0,5,1137.75,23892.75,UPI,84,284.44,49.86,Overcast,Local Event,No,Available,Full Day,Aditya Verma,Local Event - High Footfall
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT008,HSR Layout,South,PRD002,Veg Burger,Burgers,104,150,15600,0.0,0.0,15600.0,5,780.0,16380.0,UPI,70,234.0,49.86,Overcast,Local Event,No,Available,Full Day,Aditya Verma,Local Event - High Footfall
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT008,HSR Layout,South,PRD003,French Fries,Sides,96,100,9600,0.0,0.0,9600.0,5,480.0,10080.0,UPI,72,140.0,49.86,Overcast,Local Event,No,Available,Full Day,Aditya Verma,Local Event - High Footfall
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT009,Rajajinagar,West,PRD001,Chicken Burger,Burgers,92,195,17940,0.0,0.0,17940.0,5,897.0,18837.0,UPI,74,254.55,54.95,Overcast,None,No,Available,Full Day,Sneha Hegde,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT009,Rajajinagar,West,PRD002,Veg Burger,Burgers,88,140,12320,0.0,0.0,12320.0,5,616.0,12936.0,Credit Card,64,202.12,54.95,Overcast,None,No,Available,Full Day,Sneha Hegde,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT009,Rajajinagar,West,PRD003,French Fries,Sides,72,90,6480,0.0,0.0,6480.0,5,324.0,6804.0,Credit Card,59,115.32,54.95,Overcast,None,No,Available,Full Day,Sneha Hegde,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT010,Yelahanka,North,PRD001,Chicken Burger,Burgers,82,180,14760,0.0,0.0,14760.0,5,738.0,15498.0,UPI,67,231.31,53.53,Overcast,None,No,Available,Full Day,Rohan Das,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT010,Yelahanka,North,PRD002,Veg Burger,Burgers,69,130,8970,0.0,0.0,8970.0,5,448.5,9418.5,UPI,49,192.21,53.53,Overcast,None,No,Available,Full Day,Rohan Das,Normal Operations
2025-08-02,Saturday,August,Q2 FY 2025-26,FY 2025-26,OUT010,Yelahanka,North,PRD003,French Fries,Sides,53,85,4505,0.0,0.0,4505.0,5,225.25,4730.25,UPI,36,131.4,53.53,Overcast,None,No,Available,Full Day,Rohan Das,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT001,Indiranagar,East,PRD001,Chicken Burger,Burgers,142,220,31240,0.0,0.0,31240.0,5,1562.0,32802.0,UPI,96,341.69,56.29,Overcast,None,No,Available,Full Day,Aarav Sharma,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT001,Indiranagar,East,PRD002,Veg Burger,Burgers,134,160,21440,0.0,0.0,21440.0,5,1072.0,22512.0,UPI,105,214.4,56.29,Overcast,None,No,Available,Full Day,Aarav Sharma,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT001,Indiranagar,East,PRD003,French Fries,Sides,113,110,12430,0.0,0.0,12430.0,5,621.5,13051.5,UPI,88,148.31,56.29,Overcast,None,No,Available,Full Day,Aarav Sharma,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT002,Koramangala,South,PRD001,Chicken Burger,Burgers,127,215,27305,0.0,0.0,27305.0,5,1365.25,28670.25,UPI,85,337.3,62.94,Overcast,None,No,Available,Full Day,Ananya Iyer,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT002,Koramangala,South,PRD002,Veg Burger,Burgers,99,155,15345,0.0,0.0,15345.0,5,767.25,16112.25,Cash,77,209.25,62.94,Overcast,None,No,Available,Full Day,Ananya Iyer,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT002,Koramangala,South,PRD003,French Fries,Sides,96,105,10080,0.0,0.0,10080.0,5,504.0,10584.0,UPI,66,160.36,62.94,Overcast,None,No,Available,Full Day,Ananya Iyer,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT003,Whitefield,East,PRD001,Chicken Burger,Burgers,127,220,27940,0.0,0.0,27940.0,5,1397.0,29337.0,Wallet,92,318.88,65.84,Overcast,Local Event,No,Available,Full Day,Rahul Nair,Local Event - High Footfall
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT003,Whitefield,East,PRD002,Veg Burger,Burgers,115,160,18400,0.0,0.0,18400.0,5,920.0,19320.0,Cash,96,201.25,65.84,Overcast,Local Event,No,Available,Full Day,Rahul Nair,Local Event - High Footfall
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT003,Whitefield,East,PRD003,French Fries,Sides,91,110,10010,0.0,0.0,10010.0,5,500.5,10510.5,Cash,65,161.7,65.84,Overcast,Local Event,No,Available,Full Day,Rahul Nair,Local Event - High Footfall
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT004,Electronic City,South,PRD001,Chicken Burger,Burgers,40,200,8000,0.0,0.0,8000.0,5,400.0,8400.0,Credit Card,31,270.97,41.15,Overcast,None,No,Available,Full Day,Priyanka Sen,Brief Power Outage - Slow Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT004,Electronic City,South,PRD002,Veg Burger,Burgers,37,145,5365,0.0,0.0,5365.0,5,268.25,5633.25,Credit Card,29,194.25,41.15,Overcast,None,No,Available,Full Day,Priyanka Sen,Brief Power Outage - Slow Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT004,Electronic City,South,PRD003,French Fries,Sides,29,95,2755,0.0,0.0,2755.0,5,137.75,2892.75,Cash,22,131.49,41.15,Overcast,None,No,Available,Full Day,Priyanka Sen,Brief Power Outage - Slow Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT005,MG Road,Central,PRD001,Chicken Burger,Burgers,116,225,26100,0.0,0.0,26100.0,5,1305.0,27405.0,Debit Card,97,282.53,59.11,Overcast,None,No,Available,Full Day,Vikram Malhotra,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT005,MG Road,Central,PRD002,Veg Burger,Burgers,113,165,18645,0.0,0.0,18645.0,5,932.25,19577.25,Debit Card,88,222.47,59.11,Overcast,None,No,Available,Full Day,Vikram Malhotra,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT005,MG Road,Central,PRD003,French Fries,Sides,95,115,10925,0.0,0.0,10925.0,5,546.25,11471.25,UPI,72,159.32,59.11,Overcast,None,No,Available,Full Day,Vikram Malhotra,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT006,Jayanagar,South,PRD001,Chicken Burger,Burgers,99,210,20790,0.1,2079.0,18711.0,5,935.55,19646.55,Credit Card,68,288.92,53.83,Overcast,None,No,Available,Morning,Siddharth Rao,Combo Offer Applied
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT006,Jayanagar,South,PRD002,Veg Burger,Burgers,83,150,12450,0.1,1245.0,11205.0,5,560.25,11765.25,UPI,67,175.6,53.83,Overcast,None,No,Available,Morning,Siddharth Rao,Combo Offer Applied
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT006,Jayanagar,South,PRD003,French Fries,Sides,82,100,8200,0.1,820.0,7380.0,5,369.0,7749.0,Cash,57,135.95,53.83,Overcast,None,No,Available,Morning,Siddharth Rao,Combo Offer Applied
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT007,Malleshwaram,West,PRD001,Chicken Burger,Burgers,81,190,15390,0.0,0.0,15390.0,5,769.5,16159.5,Cash,56,288.56,47.1,Overcast,None,No,Available,Full Day,Meera Krishnan,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT007,Malleshwaram,West,PRD002,Veg Burger,Burgers,79,140,11060,0.0,0.0,11060.0,5,553.0,11613.0,UPI,57,203.74,47.1,Overcast,None,No,Available,Full Day,Meera Krishnan,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT007,Malleshwaram,West,PRD003,French Fries,Sides,74,90,6660,0.0,0.0,6660.0,5,333.0,6993.0,Wallet,51,137.12,47.1,Overcast,None,No,Available,Full Day,Meera Krishnan,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT008,HSR Layout,South,PRD001,Chicken Burger,Burgers,102,205,20910,0.0,0.0,20910.0,5,1045.5,21955.5,Cash,78,281.48,53.81,Overcast,None,No,Available,Full Day,Aditya Verma,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT008,HSR Layout,South,PRD002,Veg Burger,Burgers,94,150,14100,0.0,0.0,14100.0,5,705.0,14805.0,Cash,64,231.33,53.81,Overcast,None,No,Available,Full Day,Aditya Verma,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT008,HSR Layout,South,PRD003,French Fries,Sides,72,100,7200,0.0,0.0,7200.0,5,360.0,7560.0,UPI,50,151.2,53.81,Overcast,None,No,Available,Full Day,Aditya Verma,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT009,Rajajinagar,West,PRD001,Chicken Burger,Burgers,94,195,18330,0.0,0.0,18330.0,5,916.5,19246.5,UPI,70,274.95,53.59,Overcast,None,No,Available,Full Day,Sneha Hegde,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT009,Rajajinagar,West,PRD002,Veg Burger,Burgers,85,140,11900,0.0,0.0,11900.0,5,595.0,12495.0,UPI,67,186.49,53.59,Overcast,None,No,Available,Full Day,Sneha Hegde,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT009,Rajajinagar,West,PRD003,French Fries,Sides,64,90,5760,0.0,0.0,5760.0,5,288.0,6048.0,Cash,49,123.43,53.59,Overcast,None,No,Available,Full Day,Sneha Hegde,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT010,Yelahanka,North,PRD001,Chicken Burger,Burgers,73,180,13140,0.0,0.0,13140.0,5,657.0,13797.0,Credit Card,49,281.57,47.79,Overcast,None,No,Available,Full Day,Rohan Das,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT010,Yelahanka,North,PRD002,Veg Burger,Burgers,74,130,9620,0.0,0.0,9620.0,5,481.0,10101.0,Wallet,60,168.35,47.79,Overcast,None,No,Available,Full Day,Rohan Das,Normal Operations
2025-08-03,Sunday,August,Q2 FY 2025-26,FY 2025-26,OUT010,Yelahanka,North,PRD003,French Fries,Sides,54,85,4590,0.0,0.0,4590.0,5,229.5,4819.5,UPI,36,133.88,47.79,Overcast,None,No,Available,Full Day,Rohan Das,Normal Operations
2025-08-04,Monday,August,Q2 FY 2025-26,FY 2025-26,OUT001,Indiranagar,East,PRD001,Chicken Burger,Burgers,89,220,19580,0.0,0.0,19580.0,5,979.0,20559.0,UPI,66,311.5,60.93,Rainy,None,No,Available,Morning,Aarav Sharma,Normal Operations
2025-08-04,Monday,August,Q2 FY 2025-26,FY 2025-26,OUT001,Indiranagar,East,PRD002,Veg Burger,Burgers,81,160,12960,0.0,0.0,12960.0,5,648.0,13608.0,Debit Card,63,216.0,60.93,Rainy,None,No,Available,Morning,Aarav Sharma,Normal Operations
2025-08-04,Monday,August,Q2 FY 2025-26,FY 2025-26,OUT001,Indiranagar,East,PRD003,French Fries,Sides,61,110,6710,0.0,0.0,6710.0,5,335.5,7045.5,Credit Card,41,171.84,60.93,Rainy,None,No,Available,Morning,Aarav Sharma,Normal Operations
2025-08-04,Monday,August,Q2 FY 2025-26,FY 2025-26,OUT002,Koramangala,South,PRD001,Chicken Burger,Burgers,68,215,14620,0.0,0.0,14620.0,5,731.0,15351.0,Credit Card,56,274.12,71.65,Rainy,None,No,Available,Evening,Ananya Iyer,Normal Operations
